itemcode,itemname,cons_unit,conv_fac
1103,OTHER RAW MATERIALS FOR DRINKS,1,1000
1103,OTHER RAW MATERIALS FOR DRINKS,2,1
1103,OTHER RAW MATERIALS FOR DRINKS,3,1000
1103,OTHER RAW MATERIALS FOR DRINKS,4,1
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",1,1000
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",2,1
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",3,1041
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",4,1.041
1105,"PREPARED TEA, COFFEE",1,1000
1105,"PREPARED TEA, COFFEE",2,1
1105,"PREPARED TEA, COFFEE",3,1000
1105,"PREPARED TEA, COFFEE",4,1
1106,BOTTLED BEER,1,996
1106,BOTTLED BEER,2,0.996
1106,BOTTLED BEER,3,1000
1106,BOTTLED BEER,4,1
1107,LOCAL BREWS,1,1000
1107,LOCAL BREWS,2,1
1107,LOCAL BREWS,3,947
1107,LOCAL BREWS,4,0.947
1108,WINE AND SPIRITS,1,1000
1108,WINE AND SPIRITS,2,1
1108,WINE AND SPIRITS,3,996
1108,WINE AND SPIRITS,4,0.996
4011,PEAS,1,1000
4011,PEAS,2,1
4011,PEAS,3,1000
4011,PEAS,4,1
4012,GREEN BEANS,1,1000
4012,GREEN BEANS,2,1
4012,GREEN BEANS,3,1000
4012,GREEN BEANS,4,1
4013,"OTHER BEANS, LENTILS, AND PULSES",1,1000
4013,"OTHER BEANS, LENTILS, AND PULSES",2,1
4013,"OTHER BEANS, LENTILS, AND PULSES",3,1000
4013,"OTHER BEANS, LENTILS, AND PULSES",4,1
6011,ONIONS,1,1000
6011,ONIONS,2,1
6011,ONIONS,3,1000
6011,ONIONS,4,1
6012,TOMATOES,1,1000
6012,TOMATOES,2,1
6012,TOMATOES,3,1000
6012,TOMATOES,4,1
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",1,1000
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",2,1
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",3,1000
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",4,1
6021,CABBAGE,1,1000
6021,CABBAGE,2,1
6021,CABBAGE,3,1000
6021,CABBAGE,4,1
6022,CHINESS/SPINACH,1,1000
6022,CHINESS/SPINACH,2,1
6022,CHINESS/SPINACH,3,1000
6022,CHINESS/SPINACH,4,1
6023,OTHER GREEN VEGETABLE,1,1000
6023,OTHER GREEN VEGETABLE,2,1
6023,OTHER GREEN VEGETABLE,3,1000
6023,OTHER GREEN VEGETABLE,4,1
7021,LEMON/LIME,1,1000
7021,LEMON/LIME,2,1
7021,LEMON/LIME,3,1000
7021,LEMON/LIME,4,1
7022,ORANGE/TANGERINE,1,1000
7022,ORANGE/TANGERINE,2,1
7022,ORANGE/TANGERINE,3,1000
7022,ORANGE/TANGERINE,4,1
7023,OTHER CITRUS FRUITS,1,1000
7023,OTHER CITRUS FRUITS,2,1
7023,OTHER CITRUS FRUITS,3,1000
7023,OTHER CITRUS FRUITS,4,1
7031,MANGOES,1,1000
7031,MANGOES,2,1
7031,MANGOES,3,1000
7031,MANGOES,4,1
7032,AVOCADO,1,1000
7032,AVOCADO,2,1
7032,AVOCADO,3,1000
7032,AVOCADO,4,1
7033,OTHER FRUITS,1,1000
7033,OTHER FRUITS,2,1
7033,OTHER FRUITS,3,1000
7033,OTHER FRUITS,4,1
8041,CHICKEN,1,1000
8041,CHICKEN,2,1
8041,CHICKEN,3,1000
8041,CHICKEN,4,1
8042,OTHER POULTRY,1,1000
8042,OTHER POULTRY,2,1
8042,OTHER POULTRY,3,1000
8042,OTHER POULTRY,4,1
8081,DAGAA (FRESH),1,1000
8081,DAGAA (FRESH),2,1
8081,DAGAA (FRESH),3,1000
8081,DAGAA (FRESH),4,1
8082,KOLEKOLE (FRESH),1,1000
8082,KOLEKOLE (FRESH),2,1
8082,KOLEKOLE (FRESH),3,1000
8082,KOLEKOLE (FRESH),4,1
8083,TILAPIA (FRESH),1,1000
8083,TILAPIA (FRESH),2,1
8083,TILAPIA (FRESH),3,1000
8083,TILAPIA (FRESH),4,1
8084,OTHER FRESH FISH AND SEAFOOD,1,1000
8084,OTHER FRESH FISH AND SEAFOOD,2,1
8084,OTHER FRESH FISH AND SEAFOOD,3,1000
8084,OTHER FRESH FISH AND SEAFOOD,4,1
11011,BUNS,1,1000
11011,BUNS,2,1
11011,BUNS,3,1000
11011,BUNS,4,1
11021,CAKES AND BISCUITS,1,1000
11021,CAKES AND BISCUITS,2,1
11021,CAKES AND BISCUITS,3,1000
11021,CAKES AND BISCUITS,4,1
