itemcode,itemname,groupcode,groupname
418,"Pea, green, fresh",4,Vegetables
420,Spinach,4,Vegetables
421,"Nyanya chungu / Tomato, bitter (Af",4,Vegetables
423,"Nyanya zilizoiva / Tomato, ripe",4,Vegetables
427,"pilipili  za kijani/  chilli, gree",4,Vegetables
428,"Chinisi mbichi / Cabbage, chinese,",4,Vegetables
429,Green pepper (capsicum),4,Vegetables
431,"Cabbage, chinese, raw",4,Vegetables
432,"Salad, green",4,Vegetables
433,"Pepper dried or fresh, hot",4,Vegetables
451,"Beer, commercial",6,Beverages
452,"Beer, local, grain",6,Beverages
453,"Beer, local, non-specific",6,Beverages
455,"Candy, choclate",7,Sugar and sweets
458,"Carbonated, beverage, coca cola",6,Beverages
462,"Orange drink, concentrated",6,Beverages
463,"Salt, iodized",13,Spices and other foods
465,Sugar,7,Sugar and sweets
466,Sugarcane,5,Fruits
468,Majani ya chai / Tea leaves,6,Beverages
471,"Chili powder, red",13,Spices and other foods
472,"Coffee, instant",6,Beverages
476,"Fruit flavored drink, concentrated",6,Beverages
477,"Garlic, fresh-AP",4,Vegetables
478,Tomato paste,4,Vegetables
480,"Vinegar, wine",13,Spices and other foods
481,Chili sauce,13,Spices and other foods
490,Ginger,13,Spices and other foods
569,"Fish, fried",9,"Meat, meat products and fish"
571,Egg boiled,10,Eggs
572,"Meat, barbecued",9,"Meat, meat products and fish"
574,"Chicken, boiled or roasted",9,"Meat, meat products and fish"
658,"Mung bean (dry, boiled)",3,"pulses, dry"
961,"Potato, boiled",2,Starches
964,"Banana, fried",2,Starches
965,"Cassava, boiled",2,Starches
966,"Sweet potato, fried",2,Starches
967,"Sweet potato, boiled",2,Starches
969,"Banana,  boiled",2,Starches
970,"Taro, cooked, without salt",2,Starches
971,"Banana, roast",2,Starches
1017,Refined corn flour,2,Starches
1102,Butter refined-ghee,11,Oil and fats
1104,Coconut milk and water,8,Nuts and seeds
1105,Coconut cream,8,Nuts and seeds
1107,Margarine,11,Oil and fats
1108,Palm oil,11,Oil and fats
1110,Vegetable fat,11,Oil and fats
1111,"Vegetable fat, Cowboy",11,Oil and fats
1113,Vegetable oil,11,Oil and fats
1114,"Coconut meat, raw",8,Nuts and seeds
1120,Coconut juice,8,Nuts and seeds
1121,"Corn, roasted",2,Starches
1125,Energy drink,6,Beverages
4019,"Saro (Kales, raw)",4,Vegetables
4074,"Sukuma Wiki, boiled",4,Vegetables
8009,Perch Nile,9,"Meat, meat products and fish"
9001,Animal fat/Lard,11,Oil and fats
13002,Baking powder,13,Spices and other foods
13003,Baking soda,13,Spices and other foods
13005,Cardamon,13,Spices and other foods
13006,"Chilli, fresh, raw",13,Spices and other foods
13008,Cinnamon,13,Spices and other foods
13011,Coriander Leaves,13,Spices and other foods
13018,Garam masala,13,Spices and other foods
13026,Black pepper,13,Spices and other foods
13035,Yeast,13,Spices and other foods
99910,"Potash, solid",13,Spices and other foods
99911,"Tea, infusion",6,Beverages
99912,Cloves,13,Spices and other foods
