hhid,itemcode,itemname,groupcode,groupname,gafed,adm1
1000-001-06,802,Beef (including minced sausage),9,"Meat, meat products and fish",46.84404206494167,2
1000-001-06,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",5.297202901579133,2
1000-001-06,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,44.17867219916997,2
1000-001-06,1001,Cooking oil,11,Oil and fats,24.12875921669295,2
1000-001-06,1003,Salt,13,Spices and other foods,8.846328845637151,2
1000-001-06,1101,Tea dry,6,Beverages,0.5297202901579133,2
1000-001-06,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,44.115105764351014,2
1000-001-06,4011,Peas,3,"Pulses, dry",17.538641728123118,2
1000-001-06,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",158.91608704737402,2
1000-001-06,6011,Onions,4,Vegetables,23.572552912027138,2
1000-001-06,6012,Tomatoes,4,Vegetables,51.912588435475506,2
1000-001-06,6013,"Carrots and green pepper, other viungo",4,Vegetables,19.144484856803448,2
1000-001-06,6022,Chiness/spinach,4,Vegetables,58.79895220752837,2
1000-001-06,7032,Avocado,5,Fruits,56.415210901817765,2
1001-001-01,102,Rice (husked),1,Cereals and cereal products,57.14976140872664,2
1001-001-01,104,Maize (grain),1,Cereals and cereal products,190.49920469575548,2
1001-001-01,105,Maize (flour),1,Cereals and cereal products,76.19968187830219,2
1001-001-01,301,Sugar,7,Sugar and sweets,19.049920469575547,2
1001-001-01,901,Fresh milk,12,Milk and milk products,200.976660954022,2
1001-001-01,1001,Cooking oil,11,Oil and fats,17.33542762731375,2
1001-001-01,1003,Salt,13,Spices and other foods,4.762480117393887,2
1001-001-01,1107,Local brews,6,Beverages,54.12082405406413,2
1001-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",66.67472164351443,2
1001-001-01,6011,Onions,4,Vegetables,8.477214608961118,2
1001-001-01,6012,Tomatoes,4,Vegetables,12.134799339119624,2
1001-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,7.573261073854981,2
1001-001-01,6023,Other green vegetable,4,Vegetables,5.041929265349585,2
1002-001-01,102,Rice (husked),1,Cereals and cereal products,97.88656120827446,2
1002-001-01,104,Maize (grain),1,Cereals and cereal products,191.17245403976,2
1002-001-01,105,Maize (flour),1,Cereals and cereal products,86.72749323053118,2
1002-001-01,203,Sweet potatoes,2,Starches,123.33706712242581,2
1002-001-01,206,"Cooking bananas, plantains",2,Starches,36.70746045310292,2
1002-001-01,301,Sugar,7,Sugar and sweets,48.94328060413723,2
1002-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",21.64067657983214,2
1002-001-01,807,Eggs,10,Eggs,8.516130825119879,2
1002-001-01,901,Fresh milk,12,Milk and milk products,361.44612726155344,2
1002-001-01,1001,Cooking oil,11,Oil and fats,44.53838534976488,2
1002-001-01,1003,Salt,13,Spices and other foods,12.235820151034307,2
1002-001-01,1101,Tea dry,6,Beverages,1.2235820151034307,2
1002-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,17.832484288117403,2
1002-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",146.82984181241173,2
1002-001-01,6011,Onions,4,Vegetables,21.779759868841065,2
1002-001-01,6012,Tomatoes,4,Vegetables,71.94662248808173,2
1002-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,35.376930496238415,2
1002-001-01,6023,Other green vegetable,4,Vegetables,32.38446050395958,2
1002-001-01,7021,Lemon/lime,5,Fruits,8.313301289698119,2
1002-001-01,7022,Orange/tangerine,5,Fruits,55.06119067965438,2
1003-001-01,102,Rice (husked),1,Cereals and cereal products,45.11956175753703,2
1003-001-01,104,Maize (grain),1,Cereals and cereal products,135.3586852726111,2
1003-001-01,105,Maize (flour),1,Cereals and cereal products,45.11956175753703,2
1003-001-01,204,Yams/cocoyams,2,Starches,73.09369004720999,2
1003-001-01,301,Sugar,7,Sugar and sweets,45.11956175753703,2
1003-001-01,801,Goat meat,9,"Meat, meat products and fish",16.355841137107173,2
1003-001-01,807,Eggs,10,Eggs,8.243343933102015,2
1003-001-01,1001,Cooking oil,11,Oil and fats,10.275980190279059,2
1003-001-01,1003,Salt,13,Spices and other foods,9.023912351507406,2
1003-001-01,1081,Wheat flour,1,Cereals and cereal products,22.559780878768514,2
1003-001-01,1101,Tea dry,6,Beverages,2.2559780878768514,2
1003-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",90.23912351507408,2
1003-001-01,6011,Onions,4,Vegetables,27.02526390591195,2
1003-001-01,6012,Tomatoes,4,Vegetables,64.11489725746011,2
1003-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,55.44225248173768,2
1003-001-01,6022,Chiness/spinach,4,Vegetables,33.054590943571625,2
1005-001-01,102,Rice (husked),1,Cereals and cereal products,80.62676109668219,2
1005-001-01,104,Maize (grain),1,Cereals and cereal products,26.875587032227397,2
1005-001-01,105,Maize (flour),1,Cereals and cereal products,120.94014164502327,2
1005-001-01,301,Sugar,7,Sugar and sweets,26.875587032227397,2
1005-001-01,807,Eggs,10,Eggs,17.770138145708753,2
1005-001-01,901,Fresh milk,12,Milk and milk products,99.23810511649967,2
1005-001-01,1001,Cooking oil,11,Oil and fats,24.45678419932693,2
1005-001-01,1003,Salt,13,Spices and other foods,5.3751174064454785,2
1005-001-01,1101,Tea dry,6,Beverages,0.8062676109668219,2
1005-001-01,4011,Peas,3,"Pulses, dry",53.3898324397631,2
1005-001-01,4012,Green beans,3,"Pulses, dry",98.90216027859682,2
1005-001-01,6011,Onions,4,Vegetables,11.95963622934119,2
1005-001-01,6012,Tomatoes,4,Vegetables,26.338075291582847,2
1005-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,9.713036833133176,2
1005-001-01,6023,Other green vegetable,4,Vegetables,3.5565715089900394,2
1005-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",1.424406112708052,2
1005-001-01,11021,Cakes and biscuits,1,Cereals and cereal products,12.094014164502326,2
1006-001-01,102,Rice (husked),1,Cereals and cereal products,76.25347337899554,2
1006-001-01,104,Maize (grain),1,Cereals and cereal products,366.0166722191786,2
1006-001-01,105,Maize (flour),1,Cereals and cereal products,152.50694675799107,2
1006-001-01,206,"Cooking bananas, plantains",2,Starches,30.501389351598217,2
1006-001-01,301,Sugar,7,Sugar and sweets,91.50416805479465,2
1006-001-01,801,Goat meat,9,"Meat, meat products and fish",22.113507279908706,2
1006-001-01,901,Fresh milk,12,Milk and milk products,450.5055207231057,2
1006-001-01,1001,Cooking oil,11,Oil and fats,27.75626430995438,2
1006-001-01,1003,Salt,13,Spices and other foods,15.250694675799108,2
1006-001-01,1101,Tea dry,6,Beverages,3.0501389351598216,2
1006-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",91.50416805479468,2
1006-001-01,6011,Onions,4,Vegetables,29.31793544475621,2
1006-001-01,6012,Tomatoes,4,Vegetables,62.41316294681434,2
1006-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,15.432800222371865,2
1006-001-01,6022,Chiness/spinach,4,Vegetables,6.771308436054804,2
1006-001-01,6023,Other green vegetable,4,Vegetables,6.054586206196577,2
1006-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",3.0501389351598216,2
1006-001-01,11011,Buns,1,Cereals and cereal products,6.100277870319643,2
1006-001-03,102,Rice (husked),1,Cereals and cereal products,37.61610225774969,2
1006-001-03,105,Maize (flour),1,Cereals and cereal products,25.077401505166456,2
1006-001-03,109,Bread,1,Cereals and cereal products,20.061921204133167,2
1006-001-03,205,Irish potatoes,2,Starches,186.57586719843843,2
1006-001-03,301,Sugar,7,Sugar and sweets,37.61610225774969,2
1006-001-03,502,Coconuts (mature/immature),8,Nuts and seeds,11.388856902913412,2
1006-001-03,701,Ripe bananas,5,Fruits,31.547371093499404,2
1006-001-03,802,Beef (including minced sausage),9,"Meat, meat products and fish",22.176361238442553,2
1006-001-03,807,Eggs,10,Eggs,7.4178953652282384,2
1006-001-03,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",7.021672421446608,2
1006-001-03,901,Fresh milk,12,Milk and milk products,52.91331717590123,2
1006-001-03,1001,Cooking oil,11,Oil and fats,22.845512771206643,2
1006-001-03,1003,Salt,13,Spices and other foods,6.269350376291614,2
1006-001-03,1101,Tea dry,6,Beverages,2.507740150516646,2
1006-001-03,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",12.538700752583233,2
1006-001-03,6011,Onions,4,Vegetables,30.041222359099102,2
1006-001-03,6012,Tomatoes,4,Vegetables,71.26997507768307,2
1006-001-03,6013,"Carrots and green pepper, other viungo",4,Vegetables,33.96872076979549,2
1006-001-03,6023,Other green vegetable,4,Vegetables,32.887417663240754,2
1006-001-03,7022,Orange/tangerine,5,Fruits,36.1114581674397,2
1006-001-03,7032,Avocado,5,Fruits,16.55860821386141,2
1006-001-04,102,Rice (husked),1,Cereals and cereal products,248.70026632292274,2
1006-001-04,104,Maize (grain),1,Cereals and cereal products,91.3144477848998,2
1006-001-04,105,Maize (flour),1,Cereals and cereal products,124.35013316146137,2
1006-001-04,107,Millet and sorghum (flour),1,Cereals and cereal products,41.450044387153795,2
1006-001-04,109,Bread,1,Cereals and cereal products,33.16003550972303,2
1006-001-04,206,"Cooking bananas, plantains",2,Starches,155.43766645182671,2
1006-001-04,301,Sugar,7,Sugar and sweets,41.450044387153795,2
1006-001-04,502,Coconuts (mature/immature),8,Nuts and seeds,10.343111700039383,2
1006-001-04,701,Ripe bananas,5,Fruits,52.848806593621084,2
1006-001-04,801,Goat meat,9,"Meat, meat products and fish",30.051282180686496,2
1006-001-04,901,Fresh milk,12,Milk and milk products,131.18939048534176,2
1006-001-04,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,69.13867403777252,2
1006-001-04,1001,Cooking oil,11,Oil and fats,37.71954039230995,2
1006-001-04,1003,Salt,13,Spices and other foods,5.181255548394224,2
1006-001-04,1081,Wheat flour,1,Cereals and cereal products,62.175066580730686,2
1006-001-04,1101,Tea dry,6,Beverages,1.6580017754861516,2
1006-001-04,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",62.17506658073069,2
1006-001-04,6011,Onions,4,Vegetables,13.280594221644074,2
1006-001-04,6012,Tomatoes,4,Vegetables,28.272246275589858,2
1006-001-04,6013,"Carrots and green pepper, other viungo",4,Vegetables,14.980354006208385,2
1006-001-04,6021,Cabbage,4,Vegetables,17.547185457228437,2
1006-001-04,6023,Other green vegetable,4,Vegetables,16.455831837676417,2
1006-001-04,7022,Orange/tangerine,5,Fruits,27.978779961328808,2
1006-001-05,102,Rice (husked),1,Cereals and cereal products,158.50700644331755,2
1006-001-05,104,Maize (grain),1,Cereals and cereal products,26.417834407219594,2
1006-001-05,105,Maize (flour),1,Cereals and cereal products,52.83566881443919,2
1006-001-05,205,Irish potatoes,2,Starches,147.41151599228533,2
1006-001-05,206,"Cooking bananas, plantains",2,Starches,41.713760528999735,2
1006-001-05,301,Sugar,7,Sugar and sweets,52.83566881443919,2
1006-001-05,701,Ripe bananas,5,Fruits,26.946191095363982,2
1006-001-05,802,Beef (including minced sausage),9,"Meat, meat products and fish",46.72345648181779,2
1006-001-05,807,Eggs,10,Eggs,2.2983515934281047,2
1006-001-05,901,Fresh milk,12,Milk and milk products,83.61244589885,2
1006-001-05,1001,Cooking oil,11,Oil and fats,48.080458621139655,2
1006-001-05,1003,Salt,13,Spices and other foods,6.6044586018048985,2
1006-001-05,1081,Wheat flour,1,Cereals and cereal products,52.83566881443919,2
1006-001-05,1101,Tea dry,6,Beverages,1.3208917203609796,2
1006-001-05,1102,Coffee and cocoa,6,Beverages,6.6044586018048985,2
1006-001-05,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,66.00231748299741,2
1006-001-05,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",26.417834407219598,2
1006-001-05,6011,Onions,4,Vegetables,28.731508344603878,2
1006-001-05,6012,Tomatoes,4,Vegetables,25.8894777190752,2
1006-001-05,6013,"Carrots and green pepper, other viungo",4,Vegetables,19.095203266908552,2
1006-001-05,6022,Chiness/spinach,4,Vegetables,39.09839492268499,2
1006-001-05,7022,Orange/tangerine,5,Fruits,62.05549302255882,2
1006-001-05,8081,Dagaa (fresh),9,"Meat, meat products and fish",3.8041681546396213,2
1006-001-05,11011,Buns,1,Cereals and cereal products,10.567133762887837,2
1007-001-01,104,Maize (grain),1,Cereals and cereal products,137.35410195826353,2
1007-001-01,105,Maize (flour),1,Cereals and cereal products,268.7506766026747,2
1007-001-01,901,Fresh milk,12,Milk and milk products,407.37351122962895,2
1007-001-01,1001,Cooking oil,11,Oil and fats,16.7509487127146,2
1007-001-01,1003,Salt,13,Spices and other foods,9.193714990512953,2
1007-001-01,1101,Tea dry,6,Beverages,1.1032457988615545,2
1007-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",91.93714990512954,2
1007-001-01,6011,Onions,4,Vegetables,32.72962536622611,2
1007-001-01,6012,Tomatoes,4,Vegetables,36.039362762810775,2
1007-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,26.581415238774053,2
1007-001-01,6021,Cabbage,4,Vegetables,31.13604810120387,2
1007-001-01,11011,Buns,1,Cereals and cereal products,36.77485996205181,2
1019-001-01,102,Rice (husked),1,Cereals and cereal products,83.98745080088266,2
1019-001-01,105,Maize (flour),1,Cereals and cereal products,55.991633867255096,2
1019-001-01,109,Bread,1,Cereals and cereal products,25.196235240264798,2
1019-001-01,206,"Cooking bananas, plantains",2,Starches,6.4950295286015916,2
1019-001-01,301,Sugar,7,Sugar and sweets,27.995816933627548,2
1019-001-01,701,Ripe bananas,5,Fruits,39.960445489515834,2
1019-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",24.75716430817303,2
1019-001-01,901,Fresh milk,12,Milk and milk products,206.74910805483947,2
1019-001-01,1001,Cooking oil,11,Oil and fats,38.25628383980205,2
1019-001-01,1003,Salt,13,Spices and other foods,13.997908466813774,2
1019-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,14.571822713953141,2
1019-001-01,6011,Onions,4,Vegetables,3.4882787899299923,2
1019-001-01,6012,Tomatoes,4,Vegetables,18.382053398619853,2
1019-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,20.235792485120747,2
1019-001-01,6023,Other green vegetable,4,Vegetables,37.04816745310308,2
1019-001-01,7021,Lemon/lime,5,Fruits,4.755252572930405,2
1020-001-01,102,Rice (husked),1,Cereals and cereal products,35.70988628598218,2
1020-001-01,105,Maize (flour),1,Cereals and cereal products,428.51863543178615,2
1020-001-01,109,Bread,1,Cereals and cereal products,0.047613181714642905,2
1020-001-01,112,Other cereal products,1,Cereals and cereal products,28.567909028785746,2
1020-001-01,205,Irish potatoes,2,Starches,22.14012949730895,2
1020-001-01,206,"Cooking bananas, plantains",2,Starches,47.613181714642906,2
1020-001-01,301,Sugar,7,Sugar and sweets,23.806590857321453,2
1020-001-01,704,Sugarcane,5,Fruits,76.18109074342865,2
1020-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",84.21024939110971,2
1020-001-01,803,Pork (including sausages and bacon),9,"Meat, meat products and fish",23.806590857321453,2
1020-001-01,1001,Cooking oil,11,Oil and fats,43.32799536032504,2
1020-001-01,1003,Salt,13,Spices and other foods,11.903295428660726,2
1020-001-01,1101,Tea dry,6,Beverages,0.7839652638480964,2
1020-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,104.08717654638086,2
1020-001-01,4012,Green beans,3,"Pulses, dry",21.902063588735736,2
1020-001-01,6011,Onions,4,Vegetables,10.593932931508046,2
1020-001-01,6012,Tomatoes,4,Vegetables,46.66091808035005,2
1020-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,34.415515254228936,2
1020-001-01,6023,Other green vegetable,4,Vegetables,31.504369622811165,2
1020-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",23.806590857321453,2
1020-001-01,11011,Buns,1,Cereals and cereal products,38.09054537171433,2
1022-001-01,102,Rice (husked),1,Cereals and cereal products,142.78425312836,2
1022-001-01,105,Maize (flour),1,Cereals and cereal products,142.78425312836,2
1022-001-01,107,Millet and sorghum (flour),1,Cereals and cereal products,35.69606328209,2
1022-001-01,111,"Macaroni, spaghetti",1,Cereals and cereal products,16.063228476940502,2
1022-001-01,205,Irish potatoes,2,Starches,17.627786930594507,2
1022-001-01,301,Sugar,7,Sugar and sweets,35.69606328209,2
1022-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",31.56661961052247,2
1022-001-01,1001,Cooking oil,11,Oil and fats,32.483417586701904,2
1022-001-01,1003,Salt,13,Spices and other foods,7.1392126564180005,2
1022-001-01,1101,Tea dry,6,Beverages,0.3569606328209,2
1022-001-01,4012,Green beans,3,"Pulses, dry",9.852113465856842,2
1022-001-01,6011,Onions,4,Vegetables,8.514225014044108,2
1022-001-01,6012,Tomatoes,4,Vegetables,52.12339160450782,2
1022-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,6.450411242013672,2
1022-001-01,7031,Mangoes,5,Fruits,38.29473668902615,2
1022-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",17.848031641045,2
1022-001-01,11011,Buns,1,Cereals and cereal products,64.25291390776201,2
1023-001-01,102,Rice (husked),1,Cereals and cereal products,124.28720484356998,2
1023-001-01,105,Maize (flour),1,Cereals and cereal products,165.71627312476,2
1023-001-01,301,Sugar,7,Sugar and sweets,62.14360242178499,2
1023-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",27.477308119019764,2
1023-001-01,901,Fresh milk,12,Milk and milk products,65.56150055498317,2
1023-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,34.55184294651246,2
1023-001-01,1001,Cooking oil,11,Oil and fats,56.55067820382435,2
1023-001-01,1003,Salt,13,Spices and other foods,10.3572670702975,2
1023-001-01,1004,Other spices,13,Spices and other foods,14.021060104351216,2
1023-001-01,1101,Tea dry,6,Beverages,5.800069559366599,2
1023-001-01,6011,Onions,4,Vegetables,29.497496616207275,2
1023-001-01,6012,Tomatoes,4,Vegetables,51.96862325192473,2
1023-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,43.391096402257844,2
1023-001-01,6023,Other green vegetable,4,Vegetables,53.34473875337466,2
1023-001-01,7031,Mangoes,5,Fruits,44.892538389497474,2
1023-001-01,11011,Buns,1,Cereals and cereal products,41.42906828119,2
1038-001-02,104,Maize (grain),1,Cereals and cereal products,36.299189645422345,2
1038-001-02,105,Maize (flour),1,Cereals and cereal products,127.04716375897821,2
1038-001-02,109,Bread,1,Cereals and cereal products,87.11805514901364,2
1038-001-02,301,Sugar,7,Sugar and sweets,18.149594822711173,2
1038-001-02,701,Ripe bananas,5,Fruits,7.713577799652249,2
1038-001-02,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,15.13676208214112,2
1038-001-02,1001,Cooking oil,11,Oil and fats,8.26714044174494,2
1038-001-02,1003,Salt,13,Spices and other foods,3.629918964542235,2
1038-001-02,1101,Tea dry,6,Beverages,1.2704716375897822,2
1038-001-02,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",18.149594822711176,2
1038-001-02,6011,Onions,4,Vegetables,16.153139392212942,2
1038-001-02,6012,Tomatoes,4,Vegetables,24.901244096759733,2
1038-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,12.594044959518298,2
1038-001-02,6023,Other green vegetable,4,Vegetables,12.00910174887776,2
1038-001-02,8081,Dagaa (fresh),9,"Meat, meat products and fish",1.8149594822711175,2
1041-001-01,102,Rice (husked),1,Cereals and cereal products,413.5719275294415,2
1041-001-01,105,Maize (flour),1,Cereals and cereal products,689.2865458824026,2
1041-001-01,109,Bread,1,Cereals and cereal products,482.5005821176818,2
1041-001-01,301,Sugar,7,Sugar and sweets,103.39298188236037,2
1041-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",243.8190007068677,2
1041-001-01,901,Fresh milk,12,Milk and milk products,509.03811413415434,2
1041-001-01,1001,Cooking oil,11,Oil and fats,125.45015135059727,2
1041-001-01,1003,Salt,13,Spices and other foods,34.46432729412013,2
1041-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",137.85730917648056,2
1041-001-01,6011,Onions,4,Vegetables,12.467514265511264,2
1041-001-01,6012,Tomatoes,4,Vegetables,135.10016299295089,2
1041-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,49.82265578579284,2
1041-001-01,7032,Avocado,5,Fruits,42.0878364915795,2
1042-001-01,102,Rice (husked),1,Cereals and cereal products,300.9288180619975,2
1042-001-01,105,Maize (flour),1,Cereals and cereal products,75.23220451549938,2
1042-001-01,109,Bread,1,Cereals and cereal products,200.61921204133165,2
1042-001-01,205,Irish potatoes,2,Starches,46.64396679960961,2
1042-001-01,301,Sugar,7,Sugar and sweets,25.077401505166456,2
1042-001-01,302,Sweets,7,Sugar and sweets,1.5046440903099876,2
1042-001-01,701,Ripe bananas,5,Fruits,5.115789907053958,2
1042-001-01,704,Sugarcane,5,Fruits,150.46440903099875,2
1042-001-01,801,Goat meat,9,"Meat, meat products and fish",109.08669654747409,2
1042-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",25.077401505166456,2
1042-001-01,901,Fresh milk,12,Milk and milk products,52.91331717590123,2
1042-001-01,1001,Cooking oil,11,Oil and fats,34.268269156809964,2
1042-001-01,1003,Salt,13,Spices and other foods,10.030960602066584,2
1042-001-01,1101,Tea dry,6,Beverages,0.5015480301033292,2
1042-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,36.547804953629594,2
1042-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",125.38700752583232,2
1042-001-01,6011,Onions,4,Vegetables,14.284087897342813,2
1042-001-01,6012,Tomatoes,4,Vegetables,31.948609517582067,2
1042-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,9.063159223531345,2
1042-001-01,6022,Chiness/spinach,4,Vegetables,33.40309880488172,2
1042-001-01,6023,Other green vegetable,4,Vegetables,4.977913874355312,2
1042-001-01,7032,Avocado,5,Fruits,178.04955068668184,2
1042-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",12.538700752583228,2
1042-001-01,11011,Buns,1,Cereals and cereal products,5.015480301033292,2
1042-001-01,11021,Cakes and biscuits,1,Cereals and cereal products,2.5077401505166454,2
1042-001-02,102,Rice (husked),1,Cereals and cereal products,285.73942978632624,2
1042-001-02,105,Maize (flour),1,Cereals and cereal products,142.86971489316312,2
1042-001-02,301,Sugar,7,Sugar and sweets,35.71742872329078,2
1042-001-02,501,Groundnuts in shell/shelled,8,Nuts and seeds,35.71742872329078,2
1042-001-02,701,Ripe bananas,5,Fruits,60.71962882959433,2
1042-001-02,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",71.43485744658156,2
1042-001-02,901,Fresh milk,12,Milk and milk products,75.36377460614355,2
1042-001-02,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,59.57667111044902,2
1042-001-02,1001,Cooking oil,11,Oil and fats,65.0771551338358,2
1042-001-02,1003,Salt,13,Spices and other foods,14.286971489316313,2
1042-001-02,1081,Wheat flour,1,Cereals and cereal products,142.86971489316312,2
1042-001-02,1101,Tea dry,6,Beverages,2.8573942978632627,2
1042-001-02,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",71.43485744658157,2
1042-001-02,6011,Onions,4,Vegetables,31.788511563728793,2
1042-001-02,6012,Tomatoes,4,Vegetables,210.0184808929498,2
1042-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,77.45126467930696,2
1042-001-02,6023,Other green vegetable,4,Vegetables,94.53307138505345,2
1042-001-02,7022,Orange/tangerine,5,Fruits,26.788071542468085,2
1042-001-02,8041,Chicken,9,"Meat, meat products and fish",23.216328670139006,2
1043-001-01,102,Rice (husked),1,Cereals and cereal products,22.75074717505465,2
1043-001-01,105,Maize (flour),1,Cereals and cereal products,51.18918114387297,2
1043-001-01,109,Bread,1,Cereals and cereal products,54.601793220131164,2
1043-001-01,111,"Macaroni, spaghetti",1,Cereals and cereal products,10.237836228774594,2
1043-001-01,201,Cassava fresh,2,Starches,15.798118838357949,2
